Part Number,Status,Characteristic,Specific Applications,Length,Width,Thickness,Temperature characteristics,Rated Voltage,Capacitance,Tolerance of capacitance,Notes,,,
GCM0335C1ER12WA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),25Vdc,0.12pF,±0.05pF,,1E-12,0.12,1.2E-13
GCM0335C1HR12BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),50Vdc,0.12pF,±0.1pF,,1E-12,0.12,1.2E-13
GCM0335C1HR12WA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),50Vdc,0.12pF,±0.05pF,,1E-12,0.12,1.2E-13
GCM1555C1HR12BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),50Vdc,0.12pF,±0.1pF,,1E-12,0.12,1.2E-13
GCM1555C2AR12BE02#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),100Vdc,0.12pF,±0.1pF,,1E-12,0.12,1.2E-13
GCM1555C2AR12WE02#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),100Vdc,0.12pF,±0.05pF,,1E-12,0.12,1.2E-13
GCM0335C1ER13BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),25Vdc,0.13pF,±0.1pF,,1E-12,0.13,1.3E-13
GCM0335C1ER13WA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),25Vdc,0.13pF,±0.05pF,,1E-12,0.13,1.3E-13
GCM0335C1HR13BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),50Vdc,0.13pF,±0.1pF,,1E-12,0.13,1.3E-13
GCM0335C1HR13WA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),50Vdc,0.13pF,±0.05pF,,1E-12,0.13,1.3E-13
GCM1555C1HR13BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),50Vdc,0.13pF,±0.1pF,,1E-12,0.13,1.3E-13
GCM1555C2AR13BE02#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),100Vdc,0.13pF,±0.1pF,,1E-12,0.13,1.3E-13
GCM1555C2AR13WE02#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),100Vdc,0.13pF,±0.05pF,,1E-12,0.13,1.3E-13
GCM0335C1ER15BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),25Vdc,0.15pF,±0.1pF,,1E-12,0.15,1.5E-13
GCM0335C1ER15WA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),25Vdc,0.15pF,±0.05pF,,1E-12,0.15,1.5E-13
GCM0335C1HR15BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),50Vdc,0.15pF,±0.1pF,,1E-12,0.15,1.5E-13
GCM0335C1HR15WA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),50Vdc,0.15pF,±0.05pF,,1E-12,0.15,1.5E-13
GCM1555C1HR15BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),50Vdc,0.15pF,±0.1pF,,1E-12,0.15,1.5E-13
GCM1555C2AR15BE02#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),100Vdc,0.15pF,±0.1pF,,1E-12,0.15,1.5E-13
GCM1555C2AR15WE02#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),100Vdc,0.15pF,±0.05pF,,1E-12,0.15,1.5E-13
GCM0335C1ER16BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),25Vdc,0.16pF,±0.1pF,,1E-12,0.16,1.6E-13
GCM0335C1ER16WA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),25Vdc,0.16pF,±0.05pF,,1E-12,0.16,1.6E-13
GCM0335C1HR16BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),50Vdc,0.16pF,±0.1pF,,1E-12,0.16,1.6E-13
GCM0335C1HR16WA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),50Vdc,0.16pF,±0.05pF,,1E-12,0.16,1.6E-13
GCM1555C1HR16BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),50Vdc,0.16pF,±0.1pF,,1E-12,0.16,1.6E-13
GCM1555C2AR16BE02#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),100Vdc,0.16pF,±0.1pF,,1E-12,0.16,1.6E-13
GCM1555C2AR16WE02#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),100Vdc,0.16pF,±0.05pF,,1E-12,0.16,1.6E-13
GCM0335C1ER18BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),25Vdc,0.18pF,±0.1pF,,1E-12,0.18,1.8E-13
GCM0335C1ER18WA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),25Vdc,0.18pF,±0.05pF,,1E-12,0.18,1.8E-13
GCM0335C1HR18BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),50Vdc,0.18pF,±0.1pF,,1E-12,0.18,1.8E-13
GCM0335C1HR18WA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),50Vdc,0.18pF,±0.05pF,,1E-12,0.18,1.8E-13
GCM1555C1HR18BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),50Vdc,0.18pF,±0.1pF,,1E-12,0.18,1.8E-13
GCM1555C2AR18BE02#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),100Vdc,0.18pF,±0.1pF,,1E-12,0.18,1.8E-13
GCM1555C2AR18WE02#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),100Vdc,0.18pF,±0.05pF,,1E-12,0.18,1.8E-13
GCM0335C1ER20BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),25Vdc,0.2pF,±0.1pF,,1E-12,0.2,2E-13
GCM0335C1ER20WA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),25Vdc,0.2pF,±0.05pF,,1E-12,0.2,2E-13
GCM0335C1HR20BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),50Vdc,0.2pF,±0.1pF,,1E-12,0.2,2E-13
GCM0335C1HR20WA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),50Vdc,0.2pF,±0.05pF,,1E-12,0.2,2E-13
GCM1555C1HR20BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),50Vdc,0.2pF,±0.1pF,,1E-12,0.2,2E-13
GCM1555C1HR20MA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),50Vdc,0.2pF,±20%,,1E-12,0.2,2E-13
GCM1555C2AR20BE02#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),100Vdc,0.2pF,±0.1pF,,1E-12,0.2,2E-13
GCM1555C2AR20WE02#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),100Vdc,0.2pF,±0.05pF,,1E-12,0.2,2E-13
GCM1555G1HR20BA16#,In Production,AEC-Q200Support|Up to 150℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,X8G(Murata),50Vdc,0.2pF,±0.1pF,,1E-12,0.2,2E-13
GCM0335C1ER22BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),25Vdc,0.22pF,±0.1pF,,1E-12,0.22,2.2E-13
GCM0335C1ER22WA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),25Vdc,0.22pF,±0.05pF,,1E-12,0.22,2.2E-13
GCM0335C1HR22BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),50Vdc,0.22pF,±0.1pF,,1E-12,0.22,2.2E-13
GCM0335C1HR22WA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),50Vdc,0.22pF,±0.05pF,,1E-12,0.22,2.2E-13
GCM1555C1HR22BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),50Vdc,0.22pF,±0.1pF,,1E-12,0.22,2.2E-13
GCM1555C2AR22BE02#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),100Vdc,0.22pF,±0.1pF,,1E-12,0.22,2.2E-13
GCM1555C2AR22WE02#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),100Vdc,0.22pF,±0.05pF,,1E-12,0.22,2.2E-13
GCM0335C1ER24BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),25Vdc,0.24pF,±0.1pF,,1E-12,0.24,2.4E-13
GCM0335C1ER24WA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),25Vdc,0.24pF,±0.05pF,,1E-12,0.24,2.4E-13
GCM0335C1HR24BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),50Vdc,0.24pF,±0.1pF,,1E-12,0.24,2.4E-13
GCM0335C1HR24WA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),50Vdc,0.24pF,±0.05pF,,1E-12,0.24,2.4E-13
GCM1555C1HR24BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),50Vdc,0.24pF,±0.1pF,,1E-12,0.24,2.4E-13
GCM1555C2AR24BE02#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),100Vdc,0.24pF,±0.1pF,,1E-12,0.24,2.4E-13
GCM1555C2AR24WE02#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),100Vdc,0.24pF,±0.05pF,,1E-12,0.24,2.4E-13
GCM0335C1ER27BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),25Vdc,0.27pF,±0.1pF,,1E-12,0.27,2.7E-13
GCM0335C1ER27WA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),25Vdc,0.27pF,±0.05pF,,1E-12,0.27,2.7E-13
GCM0335C1HR27BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),50Vdc,0.27pF,±0.1pF,,1E-12,0.27,2.7E-13
GCM0335C1HR27WA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),50Vdc,0.27pF,±0.05pF,,1E-12,0.27,2.7E-13
GCM1555C2AR27BE02#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),100Vdc,0.27pF,±0.1pF,,1E-12,0.27,2.7E-13
GCM1555C2AR27WE02#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),100Vdc,0.27pF,±0.05pF,,1E-12,0.27,2.7E-13
GCM0335C1ER30BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),25Vdc,0.3pF,±0.1pF,,1E-12,0.3,3E-13
GCM0335C1ER30WA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),25Vdc,0.3pF,±0.05pF,,1E-12,0.3,3E-13
